"eCode","eName","eDesc","eStatus","eClarification"
"E120","Cochineal/Carminic Acid","Color","Haram","From insect Cochineal"
"E101","Riboflavin (Vitamin B2)","Colour","MUSBOOH","Mushbooh (Check Animal Meat Source, Halal if 100% plant material"
"E153","Carbon Black/Vegetable Carbon (Charcoal)","Colour","MUSBOOH","Animal or vegetable charred material"
"E161g","Canthaxanthin","Colour","MUSBOOH","Colour Canthaxanthin is a carotene pigment of plants. Check Halal Status of Liquid chemicals and solvents"
"E252","Potassium Nitrate(Saltpetre)","Preservative","MUSBOOH","Natural mineral; manufactured from waste animal or vegetable material"
"E290","Carbon Dioxide","Miscellaneous","MUSBOOH","Fermentation (in production of alcohol); by-product of lime manufacture."
"E334","Tartaric Acid","Miscellaneous - Tartaric Acid and its Salts","MUSBOOH","Halal, if it is not obtained from wine by-product, In Several countries it is Halal because it is obtained from un-fermented grapes."
"E335","Sodium Tartrates","Miscellaneous - Tartaric Acid and its Salts","MUSBOOH","Halal, if it is not obtained from wine by-product, In Several countries it is Halal because it is obtained from un-fermented grapes."
"E336","Potassium Tartrates (Cream of Tartar)","Miscellaneous - Tartaric Acid and its Salts","MUSBOOH","Halal, if it is not obtained from wine by-product, In Several countries it is Halal because it is obtained from un-fermented grapes."
"E337","Potassium Sodium Tartrates","Miscellaneous - Tartaric Acid and its Salts","MUSBOOH","Halal, if it is not obtained from wine by-product, In Several countries it is Halal because it is obtained from un-fermented grapes."
"E353","Metataric Acid","Miscellaneous - Salts of Malic Acid","MUSBOOH","from wine or synthetic. Check source of tartaric acid."
"E354","Calcium Tartrate","Acidity regulator","MUSBOOH","from wine or synthetic. Check source of tartaric acid."
"E422","Glycerol","Sugar Alcohols","MUSBOOH","Mushbooh, called Glycerine In Several countries , Halal if it is from plant fat, Haram if it is from pork fat"
"E430","Polyoxyethane (8) Stearate","Emulsifiers and Stabilizers - Fatty Acid derivatives","MUSBOOH","Check source Haram if Pork"
"E431","Polyoxyethane (40) Stearate","Emulsifiers and Stabilizers - Fatty Acid derivatives","MUSBOOH","Fatty Acid derivatives. Veg Sign indicates that only vegetable fat is used as a source."
